type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,48:E7:29:89:3A:50,-47,11,1,2,1,1,1,1,0,0,0,-89,1,6,1,226732321,0,84,0,0,227.112,384,[84 -64 4 0 0 0 0 0 0 0 0 0 3 6 3 7 4 7 4 7 4 7 3 7 4 8 3 8 3 8 2 7 2 8 1 7 1 6 0 6 0 5 -1 4 -1 3 -1 1 -1 0 -1 -2 0 -3 0 -4 1 -4 1 -5 2 -6 2 -6 0 0 2 -7 2 -8 3 -8 2 -8 3 -8 3 -9 2 -9 2 -9 2 -9 2 -9 2 -9 2 -9 1 -9 1 -9 1 -9 0 -10 0 -9 0 -10 -1 -10 -1 -9 0 -9 0 -8 0 -8 0 -7 0 -6 -1 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-45,11,1,0,1,1,1,1,0,0,0,-89,1,6,1,226855734,0,84,0,0,227.236,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -8 3 -8 4 -8 5 -10 5 -9 5 -10 4 -10 4 -9 3 -9 3 -9 2 -9 2 -9 1 -8 1 -7 0 -6 0 -5 0 -3 0 -1 -1 0 0 1 1 2 1 3 2 3 3 4 4 4 5 5 5 0 0 6 6 6 6 7 7 6 6 7 7 8 7 7 7 7 6 8 7 7 5 8 6 7 6 7 6 8 5 7 5 9 5 9 5 9 4 9 4 8 3 8 5 7 4 7 4 6 3 5 3 5 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-47,11,1,2,1,1,1,1,0,0,0,-89,1,6,1,226917314,0,84,0,0,227.297,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -4 5 -4 5 -4 5 -5 6 -5 7 -5 6 -6 6 -6 5 -6 5 -6 4 -6 4 -5 3 -5 3 -4 2 -4 1 -3 1 -2 0 -1 0 1 0 2 -1 3 0 4 0 5 1 6 1 6 1 7 1 0 0 7 2 7 2 8 2 8 2 9 2 9 2 9 2 9 2 9 2 9 2 9 2 9 2 9 2 9 1 9 1 9 0 9 0 9 0 9 0 8 0 8 1 8 1 7 1 6 0 6 0 5 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-49,11,1,3,1,1,1,1,0,0,0,-89,1,6,1,227017489,0,84,0,0,227.398,384,[84 -64 4 0 0 0 0 0 0 0 0 0 9 -8 9 -9 9 -10 10 -10 10 -11 11 -11 11 -11 12 -10 12 -10 12 -9 11 -8 11 -7 10 -6 9 -5 9 -4 8 -2 6 -2 4 -1 1 0 -1 1 -3 1 -5 1 -6 0 -7 -1 -9 -1 -10 -1 0 0 -11 -2 -12 -2 -12 -2 -13 -2 -13 -2 -14 -1 -14 -1 -14 -1 -14 -1 -15 0 -14 0 -14 1 -14 1 -14 2 -14 2 -14 3 -14 4 -14 4 -14 3 -14 3 -14 3 -13 3 -13 2 -11 3 -10 2 -9 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-48,11,1,2,1,1,1,1,0,0,0,-89,1,6,1,227099944,0,84,0,0,227.48,384,[84 -64 4 0 0 0 0 0 0 0 0 0 9 0 10 -1 10 0 12 -1 12 -1 12 0 12 0 13 1 12 1 11 1 11 2 10 2 10 2 9 3 7 3 5 3 3 2 2 1 0 0 -1 -2 -1 -3 -2 -5 -3 -6 -3 -7 -3 -8 -4 -9 0 0 -4 -10 -3 -11 -4 -11 -4 -11 -5 -12 -5 -12 -5 -12 -5 -13 -6 -12 -6 -12 -6 -12 -6 -12 -7 -12 -7 -12 -6 -11 -8 -11 -8 -11 -8 -11 -8 -12 -8 -11 -7 -11 -6 -10 -6 -10 -6 -8 -6 -8 -6 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-48,11,1,2,1,1,1,1,0,0,0,-89,1,6,1,227187876,0,84,0,0,227.568,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -4 -6 -5 -6 -5 -6 -5 -7 -6 -7 -6 -7 -5 -8 -5 -7 -4 -8 -4 -7 -3 -7 -3 -7 -3 -7 -2 -6 -1 -5 -1 -4 0 -3 -1 -2 -1 0 0 0 -1 2 -2 3 -2 3 -3 4 -3 5 -4 5 0 0 -4 6 -4 6 -4 6 -4 6 -5 7 -5 7 -5 7 -4 7 -4 8 -4 7 -4 7 -4 7 -4 7 -3 8 -3 7 -3 8 -3 8 -2 8 -3 8 -3 7 -3 7 -3 6 -2 6 -2 6 -2 5 -1 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-50,11,1,3,1,1,1,1,0,0,0,-89,1,6,1,227271534,0,84,0,0,227.652,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -3 -11 -4 -11 -5 -12 -5 -13 -6 -13 -5 -14 -5 -14 -4 -14 -4 -14 -3 -14 -3 -14 -2 -14 -2 -13 -1 -12 0 -10 0 -10 1 -7 1 -5 1 -3 0 -2 -1 1 -2 1 -2 3 -4 4 -5 5 -4 6 0 0 -6 7 -6 8 -6 8 -6 8 -6 9 -6 10 -7 10 -7 10 -6 10 -6 11 -6 11 -6 11 -5 11 -4 11 -4 12 -3 12 -3 12 -3 13 -4 12 -4 12 -4 12 -4 11 -3 10 -3 9 -3 9 -2 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-49,11,1,1,1,1,1,1,0,0,0,-89,1,6,1,227367287,0,84,0,0,227.747,384,[84 -64 4 0 0 0 0 0 0 0 0 0 6 -2 6 -3 7 -4 7 -4 8 -4 8 -4 8 -4 8 -3 8 -3 8 -3 8 -2 8 -2 7 -1 7 -1 6 0 5 0 3 0 2 0 1 0 0 -1 -1 -1 -2 -2 -3 -3 -3 -3 -4 -4 -4 -4 0 0 -5 -5 -5 -5 -5 -5 -6 -5 -6 -5 -6 -6 -7 -6 -7 -6 -7 -6 -7 -6 -7 -5 -7 -5 -7 -5 -7 -4 -8 -4 -8 -4 -9 -4 -8 -3 -8 -4 -8 -4 -8 -4 -7 -4 -7 -4 -6 -3 -5 -3 -5 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-50,11,1,3,1,1,1,1,0,0,0,-89,1,6,1,227450664,0,84,0,0,227.831,384,[84 -64 4 0 0 0 0 0 0 0 0 0 7 9 7 9 9 9 10 9 11 9 10 10 10 10 10 10 10 11 9 12 8 11 8 12 7 11 6 11 4 9 4 9 2 7 1 6 1 3 0 1 0 -1 1 -2 1 -4 1 -6 2 -6 2 -7 0 0 2 -8 3 -9 3 -10 3 -10 3 -11 2 -11 2 -12 2 -12 2 -13 2 -13 2 -13 2 -13 1 -12 1 -12 0 -13 -1 -13 0 -13 -1 -14 -1 -14 -1 -14 0 -13 0 -12 0 -12 0 -11 0 -10 -1 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-49,11,1,3,1,1,1,1,0,0,0,-89,1,6,1,227540560,0,84,0,0,227.921,384,[84 -64 4 0 0 0 0 0 0 0 0 0 5 11 6 11 7 11 8 12 8 12 8 12 7 13 7 13 7 14 6 14 5 13 5 13 4 13 3 12 2 11 2 10 1 7 0 6 0 4 0 2 1 0 2 -2 2 -3 3 -4 4 -5 5 -5 0 0 6 -7 6 -7 6 -8 6 -8 7 -9 6 -10 6 -10 7 -11 7 -11 7 -11 7 -11 7 -12 6 -11 6 -11 5 -12 4 -12 5 -13 5 -13 5 -13 5 -13 5 -12 5 -12 6 -11 5 -10 4 -9 3 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-49,11,1,3,1,1,1,1,0,0,0,-89,1,6,1,227633610,0,84,0,0,228.014,384,[84 -64 4 0 0 0 0 0 0 0 0 0 12 -2 11 -3 13 -4 13 -4 15 -4 15 -4 16 -4 15 -4 15 -3 16 -2 16 -1 15 -1 14 -1 13 0 11 0 10 1 8 1 5 1 4 0 2 -1 1 -2 0 -3 -2 -5 -2 -6 -3 -6 -4 -7 0 0 -4 -9 -4 -9 -5 -9 -6 -10 -6 -10 -6 -11 -7 -11 -7 -11 -7 -11 -8 -11 -9 -11 -8 -11 -8 -10 -9 -10 -9 -10 -10 -10 -10 -10 -11 -10 -10 -10 -10 -10 -9 -11 -9 -10 -8 -9 -8 -9 -7 -8 -7 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,48:E7:29:89:3A:50,-49,11,1,3,1,1,1,1,0,0,0,-89,1,6,1,227724317,0,84,0,0,228.104,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -5 11 -5 11 -4 13 -4 14 -5 14 -5 15 -5 14 -6 15 -6 15 -7 14 -7 13 -8 13 -7 11 -8 11 -7 9 -7 8 -6 6 -5 5 -3 3 -1 2 0 1 2 1 3 1 5 0 6 1 7 1 0 0 8 0 9 0 9 0 10 0 10 -1 11 -1 12 -1 12 -1 12 -2 13 -1 13 -2 13 -1 12 -2 12 -2 12 -3 12 -4 12 -4 12 -4 12 -5 12 -4 13 -4 12 -3 11 -2 10 -2 9 -2 8 -3 0 0 0 0 0 0 0 0 0 0 ]
